Dimension,dimension_guid,categorisation_code,has_parent,has_all,has_unknown,Ethnicity categorisation,Subtopic,Measure
"Science attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)",21f2b500ffcbf4da78a5e49ac454ffc7d8e2d32a,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Science attainments for children aged 5 to 7 (key stage 1)
"Science attainment for children aged 5 to 7 by ethnicity, area and gender",09e11579cbbc4a635c7a106b3de4f765e999896b,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Science attainments for children aged 5 to 7 (key stage 1)
Reading attainment for children aged 7 to 11 by ethnicity,fdb723dd284279731f7a7b929b158291d8918d3c,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,Reading attainments for children aged 7 to 11 (key stage 2)
Reading attainment for children aged 7 to 11 by ethnicity and area,a76e7e12e015c4c5e75279139cd6d5024dd18278,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",7 to 11 years old,Reading attainments for children aged 7 to 11 (key stage 2)
Reading attainment for children aged 7 to 11 by ethnicity and gender,dbda1e1bfff497f58fa12c8183ca9c5f5eb08682,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,Reading attainments for children aged 7 to 11 (key stage 2)
Writing attainment for children aged 7 to 11 by ethnicity,89ff3cffb1972651fa0aa6232a167f1e5fc1cedb,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,Writing attainments for children aged 7 to 11 (key stage 2)
Writing attainment for children aged 7 to 11 by ethnicity and area,f26a287a32263802918d39af006d46b59ab2bc81,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",7 to 11 years old,Writing attainments for children aged 7 to 11 (key stage 2)
Writing attainment for children aged 7 to 11 by ethnicity and gender,e3ba298f3bde033dd1a7ea7bf9cb3d219f8549b0,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,Writing attainments for children aged 7 to 11 (key stage 2)
Maths attainment for children aged 7 to 11 by ethnicity,89c9320c4161b32c1ffc5c17bae75e5230f64c1e,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,Maths attainments for children aged 7 to 11 (key stage 2)
Maths attainment for children aged 7 to 11 by ethnicity and area,a9b488e991ca1962945d15985a62f0d72d88faaf,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",7 to 11 years old,Maths attainments for children aged 7 to 11 (key stage 2)
Maths attainment for children aged 7 to 11 by ethnicity and gender,6f3710f2807a89b4d48a067274c8af69fd22537f,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,Maths attainments for children aged 7 to 11 (key stage 2)
"Reading, writing and maths attainment for children aged 7 to 11 by ethnicity",932ba2c2d4542a48e0367c44c599ddd583983c5d,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,"Reading, writing and maths attainments for children aged 7 to 11 (key stage 2)"
"Reading, writing and maths attainment for children aged 7 to 11 by ethnicity and eligibility for free school meals (FSM)",d4df3ff1ac6bb8f10be92be5fe37cf00ce19c2ef,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,"Reading, writing and maths attainments for children aged 7 to 11 (key stage 2)"
"Reading, writing and maths attainment for children aged 7 to 11 by ethnicity and area",5edb0a5398c19215378b82063f0d2ed2910f427f,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",7 to 11 years old,"Reading, writing and maths attainments for children aged 7 to 11 (key stage 2)"
"Reading, writing and maths attainment for children aged 7 to 11 by ethnicity and gender",253ec440cdbe54fec1a6ed02d2f42e8d38b0a3ea,18B,Yes,Yes,No,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,"Reading, writing and maths attainments for children aged 7 to 11 (key stage 2)"
"Grammar, punctuation and spelling attainment for children aged 7 to 11 by ethnicity",dbb4bfcef5b70b1ab51deecf6eea4d76ebd2e149,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,"Grammar, punctuation and spelling attainment for children aged 7 to 11 (key stage 2)"
"Grammar, punctuation and spelling attainment by ethnicity and area",cb779b11a7626972ef59658c1c8cd47538b569b7,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",7 to 11 years old,"Grammar, punctuation and spelling attainment for children aged 7 to 11 (key stage 2)"
"Grammar, punctuation and spelling attainment by ethnicity and gender",374213823f1a007a76f082fa28220058a2e8d4aa,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),7 to 11 years old,"Grammar, punctuation and spelling attainment for children aged 7 to 11 (key stage 2)"
Pupil progress (â€˜Progress 8â€™) by ethnicity,b79a3acbb4ec12e1c51b87ecedb853c4acfa095d,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,Pupil progress (â€˜Progress 8â€™) between ages 11 and 16 (key stage 2 to key stage 4)
Pupil progress (â€˜Progress 8â€™) by ethnicity and eligibility for free school meals (FSM),c06adc92a4edc9f4dbfb33fa08b0d10c77c40295,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,Pupil progress (â€˜Progress 8â€™) between ages 11 and 16 (key stage 2 to key stage 4)
Pupil progress (â€˜Progress 8â€™) by ethnicity and area,e81002bb2a18b63d01e65c1dfdd752717d8c0972,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,Pupil progress (â€˜Progress 8â€™) between ages 11 and 16 (key stage 2 to key stage 4)
Pupil progress (â€˜Progress 8â€™) by ethnicity and gender,469ed7270597c9ae2a3ac9c5ee13edda8a0f1b6a,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,Pupil progress (â€˜Progress 8â€™) between ages 11 and 16 (key stage 2 to key stage 4)
"Pupil progress (â€˜Progress 8â€™) by ethnicity, gender and eligibility for free school meals (FSM)",4a1b0565ac2277ade8a655dcaca85dffa167c0a2,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,Pupil progress (â€˜Progress 8â€™) between ages 11 and 16 (key stage 2 to key stage 4)
"Pupil progress (â€˜Progress 8â€™) by ethnicity, gender and area",30fc0207b05c378c4c4fd2aff2efd8526c9961b6,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,Pupil progress (â€˜Progress 8â€™) between ages 11 and 16 (key stage 2 to key stage 4)
"Pupil progress (â€˜Progress 8â€™) by ethnicity, basis for school admission and gender",fb5de68975a8ee25443f9da3361b0deb93a41b5d,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,Pupil progress (â€˜Progress 8â€™) between ages 11 and 16 (key stage 2 to key stage 4)
Pupil progress (â€˜Progress 8â€™) by ethnicity and type of school,b718e05a05af2e3f68e6bddb594c9f306734f671,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,Pupil progress (â€˜Progress 8â€™) between ages 11 and 16 (key stage 2 to key stage 4)
"Pupil progress (â€˜Progress 8â€™) by ethnicity, special educational needs and gender",6ba5cd7dcc9479e3d8ac7ab139080d5013a3d8e4,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,Pupil progress (â€˜Progress 8â€™) between ages 11 and 16 (key stage 2 to key stage 4)
"Pupil progress (â€˜Progress 8â€™) by ethnicity, religion of school and gender",ca0102517e3c9897897dff773f5a1417dea1c18f,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,Pupil progress (â€˜Progress 8â€™) between ages 11 and 16 (key stage 2 to key stage 4)
A* to C in English and Maths GCSE by ethnicity,1811668620f8c78bb79bd699c663ea22a98524d2,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and eligibility for free school meals (FSM),1a4582ae6adf15ed1c4261baa894bd73a3e95a8d,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and area,0975b60fc99c5261d3222ccde84d1f25bf794b7d,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and gender,8026e2159ac05cbc92d4437c77e8d92b6d7e7f2f,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and eligibility for free school meals (FSM)",35e7cdad915a724596e6c1369fe3ed29f36f53cf,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and area",c31bbd95bb42e0f0d3fc28fc3693543e5fa5aa3e,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and basis for school admission",1693338cfc1f555245ca66e3ffd9bfc5346de6ca,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and school type,a0f79ca4e26ad752aac36cd3a11033a389b8c044,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, Special Education Needs (SEN) and gender",1c182aca65778a46438a4551144e81312c69cf51,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, religion of school and gender",77f2b19228769612abeb8482914f56a016650825,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
GCSE-level exam results (â€˜Attainment 8â€™) by ethnicity,580f209aeedbd151a0934ce701b98a6142aef602,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,GCSE results (â€˜Attainment 8â€™) for children aged 14 to 16 (key stage 4)
GCSE-level exam results (â€˜Attainment 8â€™) by ethnicity and eligibility for free school meals (FSM),ed34ae15b65e5e1b2be10902ca614a0448b70f45,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,GCSE results (â€˜Attainment 8â€™) for children aged 14 to 16 (key stage 4)
GCSE-level exam results (â€˜Attainment 8â€™) by ethnicity and area,664023e5639d57a38ffefae92e98d89875c8863b,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,GCSE results (â€˜Attainment 8â€™) for children aged 14 to 16 (key stage 4)
GCSE-level exam results (â€˜Attainment 8â€™) by ethnicity and gender,28e470f9ed3bead90c0aa5e8299f11d8600d6766,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,GCSE results (â€˜Attainment 8â€™) for children aged 14 to 16 (key stage 4)
"GCSE-level exam results (â€˜Attainment 8â€™) by ethnicity, gender and eligibility for free school meals (FSM)",f772c940fae1169a90a37797d97396fecf067b82,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,GCSE results (â€˜Attainment 8â€™) for children aged 14 to 16 (key stage 4)
"GCSE-level exam results (â€˜Attainment 8â€™) by ethnicity, gender and area",1747c70efdb55b6e5f7bbdc139d3329e5f83dabb,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,GCSE results (â€˜Attainment 8â€™) for children aged 14 to 16 (key stage 4)
"GCSE-level exam results (â€˜Attainment 8â€™) by ethnicity, basis for school admission and gender",dafe9e0feb5b68cad04ef89bd5d358a9475d9192,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,GCSE results (â€˜Attainment 8â€™) for children aged 14 to 16 (key stage 4)
GCSE-level exam results (â€˜Attainment 8â€™) by ethnicity and type of school,800b150463d638529ab7b6ed71e180f46d02b6b4,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,GCSE results (â€˜Attainment 8â€™) for children aged 14 to 16 (key stage 4)
"GCSE-level exam results (â€˜Attainment 8â€™) by ethnicity, special education needs (SEN) and gender",853e11a68e1ccc6f946023f4360dc6d2c5eac085,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,GCSE results (â€˜Attainment 8â€™) for children aged 14 to 16 (key stage 4)
"GCSE-level exam results (â€˜Attainment 8â€™) by ethnicity, religion of school and gender",99f6a84e4f895f74a78113efa73e15556252d82a,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,GCSE results (â€˜Attainment 8â€™) for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity,0592f9176ec4f6c532a60d9e991b751973de19b2,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and eligibility for free school meals (FSM),7dab8178c34d2c412a8a366b41cf0cbcf236a327,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and area,2fbd3b1995800c1a834e9243849f9ea3c0e1917d,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and gender,ac97f4ca4d7bae6b093800da1fb84a7a72d1e34d,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and eligibility for free school meals (FSM)",7a2e5a0db103fcaf67e79c00981426c748fc4c99,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and area",43e9f69012fc45ea3831223d1d1b5f6f71a2896f,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and basis for school admission",b9dab0a9f61d62f069294f61e97e6c696353509d,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and type of school,415aa03de60514dd0c5dc0f438b0e86dc60d3f8f,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and special education needs (SEN)",50a4aaf415d7ef4b41ab3c6f3db8d7d6c9d78342,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and religion of school",232fd0e7a389ea2a8ae2603307c49677d7b6160c,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity,bffe42f81a142593180b0fdf131b4dc42f0468f5,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity and eligibility for free school meals (FSM),63d1e81683bfdfafc31370dddf1fd456f6e5d069,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity and area,fcb1eb60effe4213835a0e7165c04d71182c1e6a,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity and gender,a9afcc944f724487afbc576885c31e26d2141d53,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and eligibility for free school meals (FSM)",715cf4e525967b6af1c82b950a34e360b81c4804,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and area",f62563914e82d711c24910cdd806a2c6b95dd6ae,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and basis for school admission",e08363525ca4c2d808c9563a5d92a9124ed31261,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity and type of school,ad238725f4eaf483787bde6f5b1ebe327e35e9ee,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and special education needs (SEN)",bc2d2cefabdace29d9164d46cad14365e15d33ff,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and religion of school",018f55d529da3544ea3542f498bc44b5ad9a70b7,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
Students aged 16 to 18 achieving 3 A grades or better at A level by ethnicity,7fcd6638679443ae8c8229e38778667031e26bb3,19A,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma & Unmatched),A levels,Students aged 16 to 18 achieving 3 A grades or better at A level
Futher education participants by ethnicity over time,9eef05227f146b0370df90b486500ede7ad49d55,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Further education participation
Further education participation by ethnicity compared to the overall population,d698cf486b0581ec1d411da5b7eb4ccf1b5996e8,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Further education participation
Further education participants by ethnicity over time,d6832dca4231d973cb3e9723f81ea280a5adac2e,5B,No,No,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Further education participation
Number of apprenticeships,ec459682d6b51c00072cd636a143700de90c0c84,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Representation of ethnic groups in apprenticeships,70c7bd31e9e7f81064567a3d60f26562ee59efe2,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Percentage of apprenticeships by ethnicity,9f7c4c3538617e997073d26742deead0963c2081,5B,No,No,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Apprenticeship starts by ethnicity,43e1258a3f20b269b3377422bc5dd36fa3b66c0a,5B,No,Yes,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Apprenticeship starts
Representation of learners starting an apprenticeship by ethnicity,6bb8f03e6742a85c6be58309223bad0bea0e1b53,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Apprenticeship starts
Percentage of apprenticeship starts by ethnicity,e324696aa7e926d74df7c485f474097910074d58,5B,No,No,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Apprenticeship starts
Entry rates into higher education by ethnicity,0fdd834048ca92d63d54861cc8e3041d63e59de2,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other","Apprenticeships, further and higher education",Entry rates into higher education
First year entrants onto undergraduate degrees by ethnicity,d9818d04bfaf0ba2ce368b60d75d5f4876cffb1a,5B,No,No,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",First year entrants onto undergraduate degrees
First year entrants onto postgraduate degrees by ethnicity,25ce2e5071076a623f93425c5e371a7a05957223,5B,No,No,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",First year entrants onto postgraduate degrees
"Pupils going into education, employment or training by ethnicity",c944e5ff3bd75e2d7f7394b3452de012d4e15f0b,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),After education,Destinations of school pupils after key stage 4 (usually aged 16 years)
"Pupils going into education, employment or training by ethnicity over time",e18c2fdb65d421099d59ee9dae5d5c409085ebff,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),After education,Destinations of school pupils after key stage 4 (usually aged 16 years)
Students going into education or employment by ethnicity,d25d9602a1322b1464d27096c4cfe58540501bc5,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),After education,Destinations of students after key stage 5 (usually aged 18 years)
Overall absence by ethnicity,fa5bebaae6081b81eef63fc57443f672bccd55fd,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Persistent absence by ethnicity,8bacfd1a8587da65efa03992b4dd33573eca4f5c,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Overall absence by ethnicity and type of school,28584dc7c50af16f37e17437475cf4d6d7495c91,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Persistent absence by ethnicity and type of school,05f6107f1b2be974e2c428ce7cfa4462a1980928,18B,No,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Absence from school
Overall absence by ethnicity and local authority,4cbf0c7bb8ed872cf2460d8b44fbbb8d67d4e932,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Absence from school
Persistent absence by ethnicity and local authority,e1fd64907e21fed13fc19b35ceca6abab5bc8c3d,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Absence from school
Fixed period exclusions by ethnicity,d0ec04a0044e02f4945672b09d457e9f77ff6bd1,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity,1477ae480d791896710babf4812bdf704de319b1,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Fixed period exclusions by ethnicity and type of school,65e13aae65cafea6236491f20c0ebf289a0193c5,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity and type of school,bf0aed22ac3d1bde009d4edbd46dfd3192d085c6,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),Absence and exclusions,Pupil exclusions
Fixed period exclusions by ethnicity and local authority,f5fca8275799b5a263a2825198899c4420a2aebb,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Pupil exclusions
Permanent exclusions by ethnicity and local authority,28787c9541f3dd6f45965ac5b79206c04be33a06,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Absence and exclusions,Pupil exclusions
Adults receiving treatment for mental or emotional problems by ethnicity,a3f150676def061e3fda3bf679f011304db0e2ab,5C,No,No,No,"Asian, Black, White British, White other, Other inc Mixed",Access to treatment,Adults receiving treatment for mental or emotional problems
"Rates of detention (per 100,000) under the Mental Health Act 1983 by broad ethnic group",e83a268d96b0feca77f159d2d5312c82397f566f,5B,No,No,No,"Asian, Black, White, Mixed, Other",Access to treatment,Detentions under the Mental Health Act
"Rates of detention (per 100,000) under the Mental Health Act 1983 by specific ethnic group",6d4267f26f607dd33494500bca492df0fed5ba96,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Access to treatment,Detentions under the Mental Health Act
Satisfaction with access to GP services by ethnicity,28e5f0e83b9fce97229d98d86bb9429174eb1c0a,18A,No,Yes,No,2011 census: 18 categories,Access to treatment,Satisfaction with access to GP services
Access to NHS dental services,961960a9e3a2f870b140eb56170360ed87acaaea,18A,No,Yes,Yes,2011 census: 18 categories,Access to treatment,Access to NHS dental services
Rates of adults using NHS-funded secondary mental health and learning disability services,57725c4605b92ded508a5eff799a8c4e178dfdca,16A,Yes,Yes,No,2001 census: 16 categories (plus 'unknown'),Access to treatment,Adults using NHS-funded mental health and learning disability services
Outcome following a course of psychological therapy,03cc8e93bfd7553e03e1f6a0b8056a6b08cadf47,18A,Yes,Yes,No,2011 census: 18 categories,Access to treatment,OLD Detentions under the Mental Health Act 1983 in NHS funded adult secondary mental health and learning disability services
Physical activity levels by ethnicity,45714fd0e35ccdfb9f620dd0f933cf71339c7aae,7A,No,Yes,No,"Asian, Black, Chinese, Mixed, White British, White other, Other",Exercise and activity,Physical activity
Physical activity levels by ethnicity and gender,73c149f6deae058e240137d57d9c191be1f189de,7A,No,Yes,No,"Asian, Black, Chinese, Mixed, White British, White other, Other",Exercise and activity,Physical activity
Physical activity levels by ethnicity and age group,cf80f78b240bc55783074bf342360c7401c38d61,7A,No,Yes,No,"Asian, Black, Chinese, Mixed, White British, White other, Other",Exercise and activity,Physical activity
Physical activity levels by ethnicity and area,b9644e9b0b44a63a6d624f3c90354bc5d1f04de2,7A,No,Yes,No,"Asian, Black, Chinese, Mixed, White British, White other, Other",Exercise and activity,Physical activity
Physical activity levels by ethnicity and socio-economic group,8c1d6de7fd193b31746303992c357bd04d6ae0ca,7A,No,Yes,No,"Asian, Black, Chinese, Mixed, White British, White other, Other",Exercise and activity,Physical activity
Physical inactivity by ethnicity,8636772ff8e547f122dceffdf4c460411b988a66,7A,No,Yes,No,"Asian, Black, Chinese, Mixed, White British, White other, Other",Exercise and activity,Physical inactivity
Physical inactivity by ethnicity and gender,911f9c48c70b282a2945b98be4212585d58849e2,7A,No,Yes,No,"Asian, Black, Chinese, Mixed, White British, White other, Other",Exercise and activity,Physical inactivity
