Dimension,dimension_guid,categorisation_code,has_parent,has_all,has_unknown,Ethnicity categorisation,Subtopic,Measure
A* to C in English and Maths GCSE by ethnicity,f09639a67578b8d58abbc9615f68e47a9995d20f,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity,1811668620f8c78bb79bd699c663ea22a98524d2,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and area,0975b60fc99c5261d3222ccde84d1f25bf794b7d,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and area,da204f523e1237980d935710c6ae95ac2557f241,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and area,a9b2a96124254c6f27e60caa3e734135b0d877f3,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and area,85821d50a1591d9c7ef4b0e3c49da2c9453bbef7,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and eligibility for free school meals (FSM),1a4582ae6adf15ed1c4261baa894bd73a3e95a8d,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and gender,bed5e57cde2768d2970b8e857fe001aeb580cb63,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and gender,5d315c6abb7068f5717cdc0f98df47cdc9b33f15,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and gender,3fd1dbb411501da0c8c16e10adc31554108356cf,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and gender,8026e2159ac05cbc92d4437c77e8d92b6d7e7f2f,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and school type,45879a1d64ccc441925c2f60fad2e97190bc3ce6,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and school type,f7110e03720e8a050e5957a1d45d4f8e552f5a75,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and school type,38e9b04ce5952876f3712f698c277baab4b46b32,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
A* to C in English and Maths GCSE by ethnicity and school type,a0f79ca4e26ad752aac36cd3a11033a389b8c044,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and area",d4f9e09c48f1d459a1a17f21318f929a81ab688d,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and area",2e2bc6058ed63cfcd71abff0aea00b8834d3bc82,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and area",d3c66686ade29ee91b78b00f0cebd8d8dbdec23c,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and area",c31bbd95bb42e0f0d3fc28fc3693543e5fa5aa3e,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and basis for school admission",7255556253c60772c4f6af69a2e567ef6f5a3198,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and basis for school admission",42a247e83ff7c2dedc06c11b175f8361ef8bced5,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and basis for school admission",1098620d420fd131e02b8f89630cbecac0c895da,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and basis for school admission",1693338cfc1f555245ca66e3ffd9bfc5346de6ca,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, gender and eligibility for free school meals (FSM)",35e7cdad915a724596e6c1369fe3ed29f36f53cf,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, religion of school and gender",77f2b19228769612abeb8482914f56a016650825,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, Special Education Needs (SEN) and gender",8c24eb72b22ad9b872766acd02aaaa957056baaf,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, Special Education Needs (SEN) and gender",4f2d3a0db6668006c72546d7414eb5a0f832f9e2,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, Special Education Needs (SEN) and gender",3997a77a50c9979f3d6975036624b6604dbf6a80,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
"A* to C in English and Maths GCSE by ethnicity, Special Education Needs (SEN) and gender",1c182aca65778a46438a4551144e81312c69cf51,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity,ff0bbb23dabc5b4249443800e4c7f9536090c471,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity,f8a111727f21d1d6ad614eb500543932b8553be8,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity,0592f9176ec4f6c532a60d9e991b751973de19b2,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and area,d23e3c28576cd8defa2ac361e1569f6767649ce5,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and area,44df0e2678f602fe29f0a389fc20c8ec06953704,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and area,2fbd3b1995800c1a834e9243849f9ea3c0e1917d,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and eligibility for free school meals (FSM),8327339a6031d32fcfedc16449ecd284e69ad012,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and eligibility for free school meals (FSM),565e8a8d31aad61f7966baa3ce885fdc8067bcae,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and eligibility for free school meals (FSM),7dab8178c34d2c412a8a366b41cf0cbcf236a327,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and gender,285ef63748ed8dbdc382e55074e58f62b7d0227f,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and gender,3120f2db2ab9ad244b773a78be3dba5359b28bf3,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and gender,ac97f4ca4d7bae6b093800da1fb84a7a72d1e34d,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and type of school,a0804f149f91f77dfa7736e7ae9050a364c6cd4f,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and type of school,89b6742e546071b5229416da1ba6e68ad06bb5f6,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc entry by ethnicity and type of school,415aa03de60514dd0c5dc0f438b0e86dc60d3f8f,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and basis for school admission",6355e2d7e21e0000bd544c95d9869bdd41512f9c,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and basis for school admission",ef5c2c05c1f654d2a6cc7fa32a0ae5e7d618ced4,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and basis for school admission",b9dab0a9f61d62f069294f61e97e6c696353509d,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and eligibility for free school meals (FSM)",0de3235689e5152b980cda686485c62f33571e15,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and eligibility for free school meals (FSM)",066e033b3cfb1eb93c4aaa526c2566c3d34bf572,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and eligibility for free school meals (FSM)",7a2e5a0db103fcaf67e79c00981426c748fc4c99,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and religion of school",8f30f3892b19b19b95dc00ced1f13d09e7d26252,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and religion of school",a9948798dd8562e16b302516ca1a8a1b09591035,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and religion of school",232fd0e7a389ea2a8ae2603307c49677d7b6160c,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, gender and special education needs (SEN)",50a4aaf415d7ef4b41ab3c6f3db8d7d6c9d78342,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, special education needs (SEN) and gender",1a4b8bb22163e2664515692c6ffbe9dfb25c2f42,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
"EBacc entry by ethnicity, special education needs (SEN) and gender",204020bbc218ea2718598a8f086be1a7d9e9d44a,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity,58ac6b97203c992af43bb9c13d9f9f9506b883e3,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity,fc5d2a0e0601a2988d4b49db9fb31702d9252a8b,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity,bffe42f81a142593180b0fdf131b4dc42f0468f5,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity and gender,629ea3b098423a6f56824f797faa4ca4e3ca45b3,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity and gender,b68b7a44568f7fd3e02d439a5a4a3450f9fc52a3,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity and gender,a9afcc944f724487afbc576885c31e26d2141d53,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity and type of school,e4ac3164f4cf44649383c6e5b762b02828c71b8c,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity and type of school,6dbb71d5eee4fadece5f6d46be3cfccfdba8bce6,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
EBacc achievement by ethnicity and type of school,ad238725f4eaf483787bde6f5b1ebe327e35e9ee,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and basis for school admission",41d797d5b7def08a9d481575dc4a9129599becb2,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and basis for school admission",d1580557c2df3725ce178d37a8a2fa5099578f1d,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and basis for school admission",e08363525ca4c2d808c9563a5d92a9124ed31261,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and eligibility for free school meals (FSM)",715cf4e525967b6af1c82b950a34e360b81c4804,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and free school meals (FSM)",a8ca696b564aa95538400562a176ba31a4ee4c67,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and free school meals (FSM)",6b5621a4e2cc767f87648927c9b2aecfb74458e1,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and religion of school",ddab9b378a2e230c407f7db4a80bc105424ac97e,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and religion of school",1159b3923419e43c63c85736ee083522a3ec5434,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and religion of school",018f55d529da3544ea3542f498bc44b5ad9a70b7,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, gender and special education needs (SEN)",bc2d2cefabdace29d9164d46cad14365e15d33ff,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, special education needs (SEN) and gender",3d89c699b820b6404b8d7ed6daec7fa694831526,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
"EBacc achievement by ethnicity, special education needs (SEN) and gender",a94482c680b62697a0df3a386f8dd730a0c1a3ea,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",11 to 16 years old,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)
Students aged 16 to 18 achieving 3 A grades or better at A level by ethnicity,7fcd6638679443ae8c8229e38778667031e26bb3,19A,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma & Unmatched),A levels,Students aged 16 to 18 achieving 3 A grades or better at A level
Students aged 16 to 18 achieving 3 A grades or better at A level by ethnicity,f1f56083cf534b4e7851197ef53cac2511f9ba6d,19A,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma & Unmatched),A levels,Students aged 16 to 18 achieving 3 A grades or better at A level
Students aged 16 to 18 achieving at least 3 A grades at A level by ethnicity,86af5a4d2666d68706cd3839a1b84ad970ae42e3,19A,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma & Unmatched),A levels,Students aged 16 to 18 achieving 3 A grades or better at A level
"Pupils going into education, employment or training by ethnicity",237116a4f17aa3fc379070c6179bb134b6b77332,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),After education,Destinations of school pupils after key stage 4 (usually aged 16 years)
"Pupils going into education, employment or training by ethnicity",c944e5ff3bd75e2d7f7394b3452de012d4e15f0b,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),After education,Destinations of school pupils after key stage 4 (usually aged 16 years)
"Pupils going into education, employment or training by ethnicity over time",697652c4b1d3c188ab7f32959eaa3b09a8dbe83e,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),After education,Destinations of school pupils after key stage 4 (usually aged 16 years)
"Pupils going into education, employment or training by ethnicity over time",e18c2fdb65d421099d59ee9dae5d5c409085ebff,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),After education,Destinations of school pupils after key stage 4 (usually aged 16 years)
"Pupils going into sustained education, employment or training by ethnicity",c1cc6f846ed6d3c433d595da4f9ab45e76572d40,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),After education,Destinations of school pupils after key stage 4 (usually aged 16 years)
"Pupils going into sustained education, employment or training by ethnicity over time",d0d3634d9bbe2fc7cc8be59e45a8e31f58564121,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),After education,Destinations of school pupils after key stage 4 (usually aged 16 years)
Further education participants by ethnicity over time,5861525b5ca2d7cfd81cf4d65fbcc7760e043295,5B,No,No,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Further education participation
Further education participants by ethnicity over time,d6832dca4231d973cb3e9723f81ea280a5adac2e,5B,No,No,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Further education participation
Further education participation by ethnicity compared to the overall population,517dfa878d2943a6f763ae230c09e8fc470d2ad8,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Further education participation
Further education participation by ethnicity compared to the overall population,d698cf486b0581ec1d411da5b7eb4ccf1b5996e8,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Further education participation
"Further education participation by ethnicity, compared with the overall population by ethnicity",1d4d89a7398498a6e7dbaf632c6910cee28b0a03,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Further education participation
Futher education participants by ethnicity over time,f14937f2412900d67cf539169a4ef3bbab03269f,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Further education participation
Futher education participants by ethnicity over time,9eef05227f146b0370df90b486500ede7ad49d55,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Further education participation
Number of apprentices by ethnicity over time,7afcb35f55c254faea2bce65985aa3644bdfcf59,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Number of apprenticeships,67a5250e2460207898386c59d013a1c5cce323c3,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Number of apprenticeships,ec459682d6b51c00072cd636a143700de90c0c84,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
"Participation in apprenticeships by ethnicity, compared with the overall population by ethnicity",a9b72b84255e532310db7166e2b08f6bed8e6905,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Percentage of apprentices by ethnicity over time,571d6e9ada44279cd28a3f25c4d251fd65c4f55a,5B,No,No,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Percentage of apprenticeships by ethnicity,455b335cb777f3b787e71a0992d3d021c5378fb5,5B,No,No,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Percentage of apprenticeships by ethnicity,9f7c4c3538617e997073d26742deead0963c2081,5B,No,No,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Representation of ethnic groups in apprenticeships,4b3e88a8ba556b239c54bbebb8bfd47efefe4080,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Representation of ethnic groups in apprenticeships,70c7bd31e9e7f81064567a3d60f26562ee59efe2,5B,No,Yes,Yes,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Participation in apprenticeships
Apprenticeship starts by ethnicity,bd25f4d95b05b7e40a16e1f79c8cf5420e82b39d,5B,No,Yes,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Apprenticeship starts
Apprenticeship starts by ethnicity,92827ac770f6235d50eb6add4abac20a1432807a,5B,No,Yes,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Apprenticeship starts
Apprenticeship starts by ethnicity,43e1258a3f20b269b3377422bc5dd36fa3b66c0a,5B,No,Yes,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Apprenticeship starts
Number of apprenticeship starts by ethnicity,e399649d3da7b5b61164378f0398311c0e6e6e2b,5B,No,Yes,No,"Asian, Black, White, Mixed, Other","Apprenticeships, further and higher education",Apprenticeship starts
Phonics attainment for children aged 5 to 7 by ethnicity,2a049133bd1d98a6eb27f1a81bf6947dd12b5cc6,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Phonics attainments for children aged 5 to 7 (key stage 1)
Phonics attainment for children aged 5 to 7 by ethnicity and area,2fb52d9ad7eb29b0abeb56236e6090a4fbd3ab9f,5A,No,Yes,No,"Asian, Black, White, Mixed, Chinese inc Other",5 to 7 years old,Phonics attainments for children aged 5 to 7 (key stage 1)
Phonics attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM),47d71691a1ac897d74303229eb6aa40c722a80c3,18B,Yes,Yes,Yes,18 categories (2001 census but with added Irish Traveller and Gypsy/Roma),5 to 7 years old,Phonics attainments for children aged 5 to 7 (key stage 1)
